,birthDate,currentAge,height,weight,sal_14_15,sal_15_16,sal_16_17,sal_17_18,sal_18_19,sal_19_20,sal_20_21,total_timeOnIce,total_assists,total_goals,total_pim,total_shots,total_games,total_hits,total_powerPlayGoals,total_powerPlayPoints,total_powerPlayTimeOnIce,total_evenTimeOnIce,total_penaltyMinutes,total_faceOffPct,total_shotPct,total_gameWinningGoals,total_overTimeGoals,total_shortHandedGoals,total_shortHandedPoints,total_shortHandedTimeOnIce,total_blocked,total_plusMinus,total_points,total_shifts,total_timeOnIcePerGame,total_evenTimeOnIcePerGame,total_shortHandedTimeOnIcePerGame,total_powerPlayTimeOnIcePerGame
21,1991,30,74.0,203,0.0,0.0,0.0,0.0,0.0,3200000.0,493116.0,6060.5,93,79,252,680,444,721,10,23,566.4699999999999,5314.6,252,263.63,81.26,10,1,1,1,176.23000000000002,237,21,172,8099,91.39999999999999,81.39,1.8800000000000003,6.4399999999999995
22,1991,30,71.0,195,0.0,0.0,2500000.0,3000000.0,3500000.0,3750000.0,4000000.0,6335.23,84,68,215,587,474,964,1,4,49.95,5284.74,215,354.68,79.25,12,0,9,16,996.9399999999998,378,21,152,9410,92.77000000000001,76.66,13.649999999999999,0.39999999999999997
23,1991,29,76.0,212,0.0,0.0,0.0,0.0,0.0,8000000.0,5200000.0,8839.27,145,150,205,1154,548,432,27,56,1132.83,7252.14,205,326.07,90.94000000000001,22,6,1,2,451.90000000000003,339,9,295,11553,111.05000000000001,91.65,3.91,12.64
24,1992,28,77.0,220,0.0,0.0,0.0,0.0,1100000.0,1200000.0,1200000.0,4196.68,40,14,219,310,229,344,0,0,11.22,3744.95,219,0.0,42.53,1,0,1,3,438.51,408,12,54,5229,103.86,94.07000000000001,8.509999999999998,0.41000000000000003
25,1994,26,75.0,205,0.0,0.0,0.0,875000.0,1100000.0,1925000.0,2500000.0,4657.849999999999,49,12,78,313,247,419,0,2,39.38,4148.9400000000005,78,0.0,16.88,1,0,0,3,467.53000000000003,425,27,61,5766,92.44,81.67,8.13,0.6000000000000001
26,1994,26,74.0,215,0.0,0.0,0.0,0.0,0.0,0.0,3340000.0,4847.42,77,31,55,542,234,380,11,28,405.95,4182.55,55,0.0,29.86,6,2,0,0,258.12,385,27,108,5871,81.69,70.53999999999999,3.0,6.5200000000000005
27,1994,27,77.0,235,0.0,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,629.88,7,7,167,47,74,188,0,0,1.83,625.55,167,120.0,42.92,0,0,0,0,0.9,26,4,14,883,40.5,38.57,0.28,1.24
28,1996,25,75.0,200,0.0,0.0,0.0,0.0,0.0,700000.0,700000.0,1017.46,10,7,14,94,85,92,0,0,24.31,991.6999999999999,14,71.42,15.620000000000001,2,0,0,0,0.25,30,-5,17,1345,36.74,34.93,0.0,1.3800000000000001
29,1997,24,72.0,187,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,4307.7300000000005,148,59,126,520,234,69,12,57,680.51,3618.7299999999996,126,171.85999999999999,34.1,9,2,0,0,8.09,130,-1,207,4718,64.47,55.25,0.05,8.34
30,1997,24,71.0,182,0.0,0.0,0.0,0.0,0.0,1800000.0,2400000.0,4249.89,61,66,49,521,286,334,7,18,354.17,3793.13,49,199.62,49.96,11,2,1,1,100.99,126,-7,127,5341,58.85,51.849999999999994,0.86,3.71
