,type,birthDate,currentAge,birthCity,birthStateProvince,birthCountry,nationality,height,weight,active,alternateCaptain,captain,rookie,shootsCatches,rosterStatus,timeOnIce20,assists20,goals20,pim20,shots20,games20,hits20,powerPlayGoals20,powerPlayPoints20,powerPlayTimeOnIce20,evenTimeOnIce20,penaltyMinutes20,faceOffPct20,shotPct20,gameWinningGoals20,overTimeGoals20,shortHandedGoals20,shortHandedPoints20,shortHandedTimeOnIce20,blocked20,plusMinus20,points20,shifts20,timeOnIcePerGame20,evenTimeOnIcePerGame20,shortHandedTimeOnIcePerGame20,powerPlayTimeOnIcePerGame20,timeOnIce19,assists19,goals19,pim19,shots19,games19,hits19,powerPlayGoals19,powerPlayPoints19,powerPlayTimeOnIce19,evenTimeOnIce19,penaltyMinutes19,faceOffPct19,shotPct19,gameWinningGoals19,overTimeGoals19,shortHandedGoals19,shortHandedPoints19,shortHandedTimeOnIce19,blocked19,plusMinus19,points19,shifts19,timeOnIcePerGame19,evenTimeOnIcePerGame19,shortHandedTimeOnIcePerGame19,powerPlayTimeOnIcePerGame19,timeOnIce18,assists18,goals18,pim18,shots18,games18,hits18,powerPlayGoals18,powerPlayPoints18,powerPlayTimeOnIce18,evenTimeOnIce18,penaltyMinutes18,faceOffPct18,shotPct18,gameWinningGoals18,overTimeGoals18,shortHandedGoals18,shortHandedPoints18,shortHandedTimeOnIce18,blocked18,plusMinus18,points18,shifts18,timeOnIcePerGame18,evenTimeOnIcePerGame18,shortHandedTimeOnIcePerGame18,powerPlayTimeOnIcePerGame18,timeOnIce17,assists17,goals17,pim17,shots17,games17,hits17,powerPlayGoals17,powerPlayPoints17,powerPlayTimeOnIce17,evenTimeOnIce17,penaltyMinutes17,faceOffPct17,shotPct17,gameWinningGoals17,overTimeGoals17,shortHandedGoals17,shortHandedPoints17,shortHandedTimeOnIce17,blocked17,plusMinus17,points17,shifts17,timeOnIcePerGame17,evenTimeOnIcePerGame17,shortHandedTimeOnIcePerGame17,powerPlayTimeOnIcePerGame17,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2013-14,2011-12,2012-13,2010-11
140,Forward,1992,29,Toronto,ON,CAN,CAN,73,211,True,True,False,False,R,Y,973.54,16.0,21.0,23.0,106.0,51.0,52.0,3.0,6.0,56.04,822.33,23.0,43.75,19.8,1.0,0.0,1.0,1.0,95.17,23.0,13.0,37.0,1185.0,19.05,16.07,1.52,1.05,1226.34,20,21,65,144,71,102,0,0,17.52,1047.44,65,47.67,14.58,4,0,1,1,160.58,39,16,41,1700,17.16,14.45,2.16,0.15,1423.2,25,15,37,148,82,117,0,0,12.3,1193.31,37,42.85,10.14,2,0,1,2,217.19,55,22,40,1981,17.21,14.33,2.39,0.09,1369.09,18,10,30,156,82,109,0,0,13.5,1126.37,30,37.93,6.41,3,0,4,4,228.42,43,2,28,1950,16.41,13.44,2.47,0.1,0.0,0.0,0.0,2000000.0,2000000.0,2500000.0,2500000.0,0.0,0.0,0.0,0.0
141,Forward,1994,27,MILWAUKEE,WI,USA,USA,73,194,True,False,False,False,L,Y,725.45,16.0,8.0,16.0,86.0,59.0,52.0,2.0,7.0,97.52,627.14,16.0,51.14,9.3,0.0,0.0,0.0,0.0,0.39,17.0,-5.0,24.0,988.0,12.18,10.37,0.0,1.39,1132.38,22,19,34,159,72,62,9,21,228.15,903.51,34,45.74,11.95,4,1,0,0,0.32,34,-19,41,1485,15.43,12.33,0.0,3.1,1331.12,32,19,22,213,82,33,9,24,240.01,1089.14,22,44.95,8.92,2,0,0,0,1.57,37,-31,51,1589,16.14,13.17,0.01,2.55,971.43,27,17,24,104,61,36,6,15,138.57,830.34,24,42.67,16.35,6,5,0,0,2.12,32,-5,44,1276,15.55,13.36,0.02,2.16,0.0,0.0,0.0,0.0,0.0,0.0,742264.0,0.0,0.0,0.0,0.0
142,Defenseman,1994,27,Vancouver,BC,CAN,CAN,73,219,True,True,False,False,L,Y,1137.26,24.0,3.0,24.0,123.0,47.0,38.0,0.0,7.0,109.58,934.13,24.0,0.0,2.4,2.0,1.0,0.0,0.0,93.15,67.0,6.0,27.0,1323.0,24.12,19.52,1.59,2.2,1896.01,52,20,14,223,82,61,3,21,213.35,1594.13,14,0.0,8.97,5,2,0,0,88.13,114,24,72,2364,23.07,19.26,1.04,2.36,1641.35,46,6,14,182,76,48,1,25,166.51,1388.01,14,0.0,3.3,0,0,0,0,86.43,84,-4,52,2260,21.35,18.15,1.08,2.11,1684.49,21,6,21,171,76,46,1,5,73.38,1431.0,21,0.0,3.51,1,1,0,0,180.11,120,-20,27,2335,22.1,18.49,2.22,0.58,0.0,0.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,0.0,0.0,0.0,0.0
143,Defenseman,1993,28,Brockville,ON,CAN,CAN,74,206,True,False,False,False,L,Y,1186.59,12.0,4.0,14.0,114.0,65.0,51.0,0.0,0.0,8.17,1086.51,14.0,0.0,3.5,1.0,0.0,0.0,0.0,91.51,76.0,5.0,16.0,1416.0,18.15,16.43,1.24,0.07,1542.33,15,5,43,114,69,55,1,8,127.54,1256.31,43,0.0,4.39,1,0,0,1,158.08,102,-23,20,1908,22.21,18.12,2.17,1.51,1123.17,6,0,23,103,61,40,0,2,58.3,967.34,23,0.0,0.0,0,0,0,1,97.13,68,-9,6,1458,18.24,15.51,1.35,0.57,1455.17,14,5,31,130,71,46,2,11,146.06,1270.54,31,0.0,3.85,1,1,0,0,38.17,106,-22,19,1780,20.29,17.54,0.32,2.03,0.0,0.0,0.0,0.0,0.0,0.0,212940.0,0.0,0.0,0.0,0.0
144,Forward,1994,26,Vancouver,BC,CAN,CAN,70,185,True,False,False,False,L,Y,960.0,19.0,9.0,32.0,88.0,65.0,48.0,1.0,3.0,81.33,860.52,32.0,46.92,10.2,1.0,0.0,0.0,0.0,17.35,41.0,-2.0,28.0,1259.0,14.46,13.14,0.16,1.15,1160.5,27,15,38,116,78,22,4,16,161.58,994.15,38,56.03,12.93,1,0,0,0,4.37,29,-9,42,1486,14.52,12.44,0.03,2.04,1061.54,24,19,28,81,79,42,5,17,196.03,865.36,28,42.07,23.46,0,0,0,0,0.15,35,-7,43,1398,13.26,10.57,0.0,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5000000.0,3600000.0,0.0,0.0,0.0,0.0
145,Forward,1996,25,Calgary,AB,CAN,SWE,72,196,True,False,False,False,R,Y,1238.11,28.0,31.0,12.0,197.0,68.0,9.0,9.0,17.0,196.07,1041.07,12.0,50.0,15.7,7.0,1.0,0.0,0.0,0.57,14.0,-2.0,59.0,1493.0,18.12,15.18,0.0,2.53,837.51,20,7,16,130,54,16,1,6,100.16,735.04,16,55.16,5.38,0,0,0,0,2.31,14,-4,27,1145,15.3,13.36,0.02,1.51,1368.27,41,20,10,184,82,21,5,12,165.26,1201.1,10,51.38,10.87,8,2,0,0,1.51,18,20,61,1869,16.41,14.38,0.01,2.01,1297.0,39,22,32,205,81,25,9,26,190.46,1105.37,32,40.16,10.73,2,0,0,0,0.37,16,-3,61,1766,16.0,13.38,0.0,2.21,0.0,0.0,0.0,0.0,8774193.0,9000000.0,6000000.0,0.0,0.0,0.0,0.0
146,Forward,1996,25,Stratford,ON,CAN,CAN,73,185,True,False,False,False,L,Y,1005.29,21.0,14.0,17.0,150.0,66.0,89.0,2.0,6.0,111.23,861.26,17.0,46.41,9.3,4.0,1.0,0.0,0.0,32.4,27.0,6.0,35.0,1464.0,15.14,13.03,0.29,1.41,1133.0,16,19,31,150,78,77,1,3,63.3,977.31,31,46.21,12.67,2,0,4,4,91.59,51,-1,35,1696,14.31,12.31,1.1,0.48,901.21,19,9,30,143,68,43,1,1,44.5,818.59,30,38.54,6.29,4,1,0,1,37.32,32,11,28,1345,13.15,12.02,0.33,0.39,337.25,6,1,4,44,29,28,0,1,28.38,308.13,4,39.04,2.27,0,0,0,0,0.34,6,-1,7,465,11.38,10.37,0.01,0.59,0.0,0.0,0.0,0.0,0.0,0.0,2500000.0,0.0,0.0,0.0,0.0
147,Forward,1996,25,Ljungby,Unknown,SWE,SWE,77,214,True,False,False,False,L,Y,572.49,7.0,8.0,6.0,72.0,48.0,29.0,0.0,0.0,0.16,510.11,6.0,39.04,11.1,3.0,0.0,1.0,2.0,62.22,10.0,4.0,15.0,805.0,11.56,10.37,1.17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1250000.0,0.0,0.0,0.0,0.0
148,Forward,1997,24,Markham,ON,CAN,CAN,72,175,True,True,False,False,R,Y,1271.41,51.0,16.0,16.0,154.0,59.0,24.0,6.0,24.0,190.06,951.51,16.0,26.92,10.4,2.0,1.0,0.0,1.0,129.44,37.0,6.0,67.0,1450.0,21.33,16.07,2.11,3.13,1625.26,68,26,22,233,82,29,3,21,212.17,1302.0,22,63.63,11.16,5,0,1,3,111.09,43,22,94,2066,19.49,15.52,1.21,2.35,1343.49,47,22,26,194,82,31,8,27,179.59,1160.21,26,52.63,11.34,2,0,0,0,3.29,25,-1,69,1824,16.23,14.09,0.02,2.11,1294.23,42,19,38,176,77,41,4,21,183.15,1100.55,38,37.83,10.8,5,0,0,0,10.13,39,0,61,1690,16.48,14.17,0.07,2.22,0.0,0.0,0.0,0.0,0.0,16000000.0,15000000.0,0.0,0.0,0.0,0.0
149,Forward,1997,23,San Ramon,CA,USA,USA,75,220,True,True,False,False,L,Y,1467.52,33.0,47.0,8.0,290.0,70.0,40.0,12.0,25.0,223.44,1241.39,8.0,55.0,16.2,5.0,0.0,0.0,0.0,2.29,60.0,19.0,80.0,1624.0,20.58,17.44,0.02,3.11,1261.44,36,37,12,251,68,28,12,20,174.39,1085.01,12,52.14,14.74,5,2,0,0,2.04,60,-9,73,1591,18.33,15.57,0.01,2.34,1123.57,29,34,12,187,62,16,5,13,133.04,989.2,12,54.5,18.18,5,2,0,0,1.33,61,25,63,1497,18.07,15.57,0.01,2.08,1445.45,29,40,14,279,82,21,8,21,201.28,1242.49,14,46.82,14.34,8,1,0,0,1.28,61,2,69,1894,17.37,15.09,0.01,2.27,0.0,0.0,0.0,0.0,0.0,15910000.0,15910000.0,0.0,0.0,0.0,0.0
