,type,birthDate,currentAge,birthCity,birthStateProvince,birthCountry,nationality,height,weight,active,alternateCaptain,captain,rookie,shootsCatches,rosterStatus,timeOnIce20,assists20,goals20,pim20,shots20,games20,hits20,powerPlayGoals20,powerPlayPoints20,powerPlayTimeOnIce20,evenTimeOnIce20,penaltyMinutes20,faceOffPct20,shotPct20,gameWinningGoals20,overTimeGoals20,shortHandedGoals20,shortHandedPoints20,shortHandedTimeOnIce20,blocked20,plusMinus20,points20,shifts20,timeOnIcePerGame20,evenTimeOnIcePerGame20,shortHandedTimeOnIcePerGame20,powerPlayTimeOnIcePerGame20,timeOnIce19,assists19,goals19,pim19,shots19,games19,hits19,powerPlayGoals19,powerPlayPoints19,powerPlayTimeOnIce19,evenTimeOnIce19,penaltyMinutes19,faceOffPct19,shotPct19,gameWinningGoals19,overTimeGoals19,shortHandedGoals19,shortHandedPoints19,shortHandedTimeOnIce19,blocked19,plusMinus19,points19,shifts19,timeOnIcePerGame19,evenTimeOnIcePerGame19,shortHandedTimeOnIcePerGame19,powerPlayTimeOnIcePerGame19,timeOnIce18,assists18,goals18,pim18,shots18,games18,hits18,powerPlayGoals18,powerPlayPoints18,powerPlayTimeOnIce18,evenTimeOnIce18,penaltyMinutes18,faceOffPct18,shotPct18,gameWinningGoals18,overTimeGoals18,shortHandedGoals18,shortHandedPoints18,shortHandedTimeOnIce18,blocked18,plusMinus18,points18,shifts18,timeOnIcePerGame18,evenTimeOnIcePerGame18,shortHandedTimeOnIcePerGame18,powerPlayTimeOnIcePerGame18,timeOnIce17,assists17,goals17,pim17,shots17,games17,hits17,powerPlayGoals17,powerPlayPoints17,powerPlayTimeOnIce17,evenTimeOnIce17,penaltyMinutes17,faceOffPct17,shotPct17,gameWinningGoals17,overTimeGoals17,shortHandedGoals17,shortHandedPoints17,shortHandedTimeOnIce17,blocked17,plusMinus17,points17,shifts17,timeOnIcePerGame17,evenTimeOnIcePerGame17,shortHandedTimeOnIcePerGame17,powerPlayTimeOnIcePerGame17,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2013-14,2011-12,2012-13,2010-11
0,Defenseman,1989,32,Toronto,ON,CAN,CAN,72,210,True,True,False,False,R,Y,1504.25,11.0,7.0,79.0,151.0,68.0,88.0,2.0,6.0,160.14,1232.41,79.0,0.0,4.6,3.0,0.0,0.0,0.0,111.3,90.0,-21.0,18.0,1883.0,22.07,18.07,1.38,2.21,1427.51,22,9,60,168,63,56,2,10,163.07,1166.17,60,0.0,5.36,1,0,1,1,98.27,75,5,31,1731,22.39,18.3,1.33,2.35,1977.24,43,16,82,207,82,111,5,25,253.23,1507.0,82,33.33,7.73,2,0,0,1,217.01,90,18,59,2323,24.06,18.22,2.38,3.05,1610.4,30,10,44,142,66,78,3,16,172.0,1300.43,44,0.0,7.04,2,0,0,1,137.57,104,-8,40,1860,24.24,19.42,2.05,2.36,7000000.0,7000000.0,11000000.0,11000000.0,10000000.0,10000000.0,8000000.0,0.0,0.0,0.0,0.0
1,Defenseman,1993,27,Regina,SK,CAN,CAN,73,206,True,False,False,False,L,Y,538.48,7.0,2.0,4.0,32.0,27.0,12.0,0.0,2.0,23.15,460.25,4.0,0.0,6.3,0.0,0.0,0.0,0.0,55.08,50.0,-9.0,9.0,708.0,19.57,17.03,2.02,0.51,1200.36,28,1,10,71,56,27,0,1,33.43,1025.18,10,0.0,1.41,0,0,0,0,141.35,93,20,29,1501,21.26,18.18,2.31,0.36,811.12,11,1,8,34,44,31,0,0,12.06,710.11,8,0.0,2.94,0,0,0,0,88.55,75,4,12,1059,18.26,16.08,2.01,0.16,1099.59,9,2,24,52,60,23,0,1,26.42,960.5,24,0.0,3.85,0,0,0,1,112.27,96,3,11,1463,18.19,16.0,1.52,0.26,0.0,0.0,0.0,0.0,0.0,4500000.0,4700000.0,0.0,0.0,0.0,0.0
2,Defenseman,1994,26,Melville,SK,CAN,CAN,74,205,True,True,False,False,R,Y,1584.26,23.0,8.0,52.0,114.0,69.0,81.0,3.0,10.0,137.22,1277.5,52.0,0.0,7.0,2.0,0.0,0.0,0.0,169.14,97.0,-20.0,31.0,1924.0,22.57,18.31,2.27,1.59,1807.31,28,11,58,146,82,83,3,12,201.51,1483.03,58,0.0,7.53,0,0,0,1,122.37,87,-27,39,2155,22.02,18.05,1.29,2.27,1495.4,15,9,42,121,76,107,0,4,124.24,1342.3,42,0.0,7.44,2,0,0,0,28.46,62,-8,24,1904,19.4,17.39,0.22,1.38,1628.11,28,3,58,125,80,79,0,13,181.27,1421.3,58,0.0,2.4,1,0,0,0,25.14,73,-31,31,2091,20.21,17.46,0.18,2.16,0.0,0.0,0.0,2500000.0,3000000.0,4675000.0,4675000.0,0.0,0.0,0.0,0.0
3,Defenseman,1994,27,Orland Park,IL,USA,USA,71,192,True,False,False,False,R,Y,417.53,5.0,1.0,17.0,25.0,29.0,27.0,0.0,0.0,2.29,402.01,17.0,0.0,4.0,1.0,0.0,0.0,0.0,13.23,39.0,-6.0,6.0,564.0,14.24,13.51,0.27,0.05,571.09,9,2,19,42,34,25,0,1,29.16,527.54,19,0.0,4.76,1,0,0,0,13.59,37,-13,11,718,16.47,15.31,0.24,0.51,711.2,8,4,27,55,47,42,1,2,14.15,695.32,27,0.0,7.27,3,0,0,0,1.33,53,5,12,992,15.08,14.47,0.01,0.18,1094.31,6,2,51,89,67,66,1,1,37.2,1038.31,51,0.0,2.25,0,0,0,0,18.4,79,8,8,1493,16.2,15.3,0.16,0.33,0.0,0.0,0.0,0.0,0.0,1500000.0,1500000.0,0.0,0.0,0.0,0.0
4,Defenseman,1995,26,Sun Prairie,WI,USA,USA,70,190,True,False,False,False,L,Y,1003.22,17.0,4.0,6.0,62.0,56.0,31.0,0.0,1.0,72.35,918.16,6.0,0.0,6.5,1.0,0.0,0.0,0.0,12.31,75.0,-8.0,21.0,1269.0,17.55,16.23,0.13,1.17,1503.25,26,4,18,108,78,38,1,14,216.04,1277.07,18,0.0,3.7,1,0,0,0,10.14,74,-17,30,1804,19.16,16.22,0.07,2.46,1301.12,39,5,8,88,81,21,3,23,214.24,1082.48,8,0.0,5.68,1,0,0,0,4.0,62,1,44,1679,16.03,13.22,0.02,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,3500000.0,3600000.0,0.0,0.0,0.0,0.0
5,Forward,1995,25,Buffalo,NY,USA,USA,74,195,True,True,False,False,L,Y,899.52,12.0,11.0,57.0,141.0,68.0,102.0,0.0,0.0,53.47,841.58,57.0,0.0,7.8,1.0,0.0,0.0,0.0,4.07,26.0,-19.0,23.0,1169.0,13.14,12.22,0.03,0.47,862.44,14,10,91,159,63,97,1,3,76.11,786.17,91,0.0,6.29,1,0,0,0,0.16,27,-10,24,1113,13.41,12.28,0.0,1.12,946.53,13,19,84,170,76,75,3,3,72.27,873.52,84,66.66,11.18,2,0,0,0,0.34,22,-6,32,1275,12.27,11.29,0.0,0.57,771.09,9,8,86,105,60,68,2,4,86.31,683.33,86,50.0,7.62,0,0,0,0,1.05,26,-21,17,1038,12.51,11.23,0.01,1.26,0.0,0.0,0.0,0.0,2500000.0,2500000.0,2500000.0,0.0,0.0,0.0,0.0
6,Defenseman,1995,26,Yarmouth,NS,CAN,CAN,77,220,True,False,False,False,L,Y,1307.03,17.0,9.0,45.0,134.0,69.0,112.0,0.0,0.0,4.06,1109.46,45.0,0.0,6.7,0.0,0.0,0.0,2.0,193.11,150.0,40.0,26.0,1580.0,18.56,16.05,2.47,0.03,288.42,2,3,2,26,26,32,0,0,0.03,257.02,2,0.0,11.54,0,0,0,0,31.37,51,4,5,405,11.06,9.53,1.12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2500000.0,0.0,0.0,0.0,0.0
7,Forward,1997,24,Brno,Unknown,CZE,CZE,75,210,True,False,False,False,L,Y,1057.23,24.0,8.0,14.0,97.0,65.0,62.0,3.0,8.0,106.4,818.37,14.0,43.27,8.2,1.0,0.0,2.0,4.0,132.06,19.0,-12.0,32.0,1343.0,16.16,12.35,2.01,1.38,980.51,12,13,15,99,61,68,4,6,103.01,744.43,15,48.87,13.13,2,0,2,3,133.07,24,-6,25,1224,16.04,12.12,2.1,1.41,991.37,17,8,30,112,69,70,2,5,90.1,829.06,30,43.86,7.14,0,0,1,1,72.21,22,-3,25,1298,14.22,12.0,1.02,1.18,1001.33,16,8,19,83,70,54,5,13,128.46,823.46,19,40.26,9.64,2,0,0,0,49.01,24,-17,24,1299,14.18,11.46,0.42,1.5,0.0,0.0,0.0,0.0,0.0,1750000.0,2000000.0,0.0,0.0,0.0,0.0
8,Forward,1997,24,Calgary,AB,CAN,CAN,70,194,True,False,False,True,L,Y,45.27,1.0,1.0,2.0,8.0,4.0,9.0,0.0,0.0,2.27,43.0,2.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,59.0,11.21,10.45,0.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,0,0,2,0,1,0,0,0,2.03,11.27,2,0.0,0.0,0,0,0,0,0.0,0,0,0,19,13.3,11.27,0.0,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,369264.0,0.0,0.0,0.0,0.0
9,Forward,1998,22,Stockholm,Unknown,SWE,SWE,70,175,True,False,False,False,L,Y,838.58,16.0,16.0,6.0,101.0,60.0,29.0,1.0,6.0,120.47,716.17,6.0,23.07,15.8,2.0,0.0,0.0,0.0,1.54,22.0,-6.0,32.0,1096.0,13.58,11.56,0.01,2.0,773.33,25,8,6,91,51,36,1,8,110.32,654.31,6,57.14,8.79,1,0,0,0,8.3,22,-8,33,961,15.1,12.5,0.1,2.1,1128.36,22,13,18,100,74,44,4,12,151.42,898.01,18,63.63,13.0,2,0,1,2,78.53,22,-16,35,1516,15.15,12.08,1.03,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2050000.0,0.0,0.0,0.0,0.0
10,Forward,1999,22,Brig,Unknown,CHE,CHE,73,175,True,False,True,False,L,Y,1047.32,22.0,14.0,12.0,123.0,58.0,48.0,2.0,10.0,155.56,838.15,12.0,51.73,11.4,1.0,0.0,1.0,2.0,53.21,37.0,-16.0,36.0,1278.0,18.03,14.27,0.55,2.41,1249.1,30,17,24,160,69,53,3,11,200.29,1003.12,24,45.23,10.63,3,3,0,0,45.29,44,0,47,1485,18.06,14.32,0.39,2.54,1337.22,32,20,26,180,82,56,1,6,168.05,1126.34,26,42.93,11.11,2,0,0,0,42.43,39,10,52,1778,16.18,13.44,0.31,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7000000.0,0.0,0.0,0.0,0.0
11,Forward,2001,20,Orlando,FL,USA,USA,71,176,True,False,False,False,L,Y,967.47,14.0,7.0,10.0,123.0,61.0,12.0,4.0,9.0,193.42,772.59,10.0,36.14,5.7,2.0,1.0,0.0,0.0,1.06,21.0,-26.0,21.0,1104.0,15.51,12.4,0.01,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,925000.0,925000.0,0.0,0.0,0.0,0.0
12,Defenseman,1985,36,Shaunavon,SK,CAN,CAN,77,224,True,False,False,False,L,Y,562.1,3.0,1.0,16.0,44.0,40.0,59.0,0.0,0.0,2.26,526.04,16.0,0.0,2.3,0.0,0.0,0.0,0.0,33.4,28.0,5.0,4.0,757.0,14.03,13.09,0.5,0.03,1192.09,19,4,34,113,74,96,0,0,2.47,1113.35,34,0.0,3.54,0,0,0,0,75.47,62,4,23,1504,16.06,15.02,1.01,0.02,1153.43,14,1,40,73,72,77,0,0,2.02,1000.33,40,0.0,1.37,0,0,0,0,151.08,75,3,15,1541,16.01,13.53,2.05,0.01,1338.55,7,5,50,102,80,109,0,0,6.26,1169.44,50,0.0,4.9,0,0,1,1,162.45,76,-1,12,1757,16.44,14.37,2.02,0.04,0.0,0.0,0.0,0.0,0.0,1800000.0,358618.0,0.0,0.0,0.0,0.0
13,Forward,1985,36,Winnipeg,MB,CAN,CAN,74,185,True,False,False,False,R,Y,1179.36,16.0,9.0,28.0,72.0,69.0,58.0,1.0,1.0,39.55,942.36,28.0,52.84,12.5,1.0,0.0,1.0,3.0,197.05,39.0,-12.0,25.0,1476.0,17.05,13.39,2.51,0.34,1541.4,27,19,20,120,80,66,5,12,211.31,1112.4,20,58.16,15.83,3,1,2,2,217.29,38,-25,46,1818,19.16,13.54,2.43,2.38,1128.12,14,12,25,91,63,64,2,6,116.18,864.59,25,50.91,13.19,0,0,1,2,146.55,38,-8,26,1445,17.54,13.43,2.19,1.5,1578.02,31,14,33,126,80,81,6,12,205.33,1186.5,33,54.66,11.11,1,0,1,2,185.39,26,-8,45,1971,19.43,14.5,2.19,2.34,5000000.0,6500000.0,6500000.0,6500000.0,6500000.0,5750000.0,1536639.0,3500000.0,0.0,0.0,0.0
14,Forward,1987,33,Welland,ON,CAN,CAN,71,215,True,False,False,False,R,Y,496.43,4.0,3.0,22.0,35.0,37.0,127.0,0.0,0.0,1.37,412.37,22.0,44.44,8.6,0.0,0.0,1.0,2.0,82.29,38.0,6.0,7.0,734.0,13.25,11.09,2.13,0.02,1020.0,15,8,44,95,73,209,3,3,91.35,794.37,44,44.11,8.42,2,0,0,1,133.48,40,6,23,1445,13.58,10.53,1.49,1.15,971.57,10,8,53,101,76,226,0,0,6.2,804.56,53,35.0,7.92,1,0,1,1,160.41,53,-7,18,1354,12.47,10.35,2.06,0.05,923.49,15,5,28,115,66,222,0,1,28.27,758.06,28,37.5,4.35,1,0,0,0,137.16,25,2,20,1395,13.59,11.29,2.04,0.25,0.0,0.0,3500000.0,5000000.0,4000000.0,3500000.0,2500000.0,0.0,0.0,0.0,0.0
15,Defenseman,1989,32,Calgary,AB,CAN,CAN,72,186,True,False,False,False,L,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,740.12,4,0,33,47,40,40,0,0,2.45,647.0,33,0.0,0.0,0,0,0,1,90.27,71,5,4,1011,18.3,16.1,2.15,0.04,1247.02,20,5,24,87,69,76,0,0,6.07,1096.07,24,0.0,5.75,0,0,0,0,144.48,110,20,25,1568,18.04,15.53,2.05,0.05,1331.25,16,4,35,87,76,89,0,3,51.05,1138.46,35,0.0,4.6,2,2,0,0,141.34,103,-1,20,1647,17.31,14.59,1.51,0.4,0.0,0.0,0.0,0.0,2500000.0,2500000.0,2500000.0,0.0,0.0,0.0,0.0
16,Defenseman,1989,32,Calgary,AB,CAN,CAN,72,186,True,False,False,False,L,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,740.12,4,0,33,47,40,40,0,0,2.45,647.0,33,0.0,0.0,0,0,0,1,90.27,71,5,4,1011,18.3,16.1,2.15,0.04,1247.02,20,5,24,87,69,76,0,0,6.07,1096.07,24,0.0,5.75,0,0,0,0,144.48,110,20,25,1568,18.04,15.53,2.05,0.05,1331.25,16,4,35,87,76,89,0,3,51.05,1138.46,35,0.0,4.6,2,2,0,0,141.34,103,-1,20,1647,17.31,14.59,1.51,0.4,0.0,0.0,0.0,0.0,2500000.0,2500000.0,2500000.0,0.0,0.0,0.0,0.0
17,Forward,1989,31,Bowmanville,ON,CAN,CAN,73,200,True,False,False,False,L,Y,1149.06,29.0,14.0,10.0,94.0,68.0,20.0,2.0,9.0,122.18,929.08,10.0,50.0,14.9,2.0,0.0,1.0,1.0,97.4,48.0,-12.0,43.0,1484.0,16.53,13.39,1.26,1.47,1379.52,40,16,21,126,82,19,2,14,200.57,1176.05,21,51.47,12.7,4,1,1,1,2.5,32,8,56,1638,16.49,14.2,0.02,2.27,1359.11,53,18,17,151,76,12,5,31,228.44,1110.3,17,22.0,11.92,3,1,0,0,19.57,33,-20,71,1542,17.53,14.36,0.15,3.0,1506.28,43,13,12,173,82,37,3,12,232.35,1237.54,12,53.33,7.51,1,1,0,0,35.59,53,5,56,1840,18.22,15.05,0.26,2.5,0.0,0.0,0.0,0.0,7000000.0,6000000.0,5000000.0,0.0,0.0,0.0,0.0
18,Forward,1990,31,Regina,SK,CAN,CAN,71,187,True,False,False,False,R,Y,1033.05,24.0,16.0,12.0,136.0,58.0,37.0,4.0,11.0,150.29,882.0,12.0,33.33,11.8,1.0,0.0,0.0,0.0,0.36,39.0,1.0,40.0,1183.0,17.48,15.12,0.0,2.35,1289.06,18,19,17,160,78,36,7,12,219.15,1068.0,17,45.0,11.88,5,0,0,0,1.51,35,-6,37,1514,16.31,13.41,0.01,2.48,1301.31,34,25,21,183,81,46,3,10,157.47,1141.32,21,36.36,13.66,7,1,0,0,2.12,30,5,59,1549,16.04,14.05,0.01,1.56,1374.57,31,20,16,208,82,26,4,14,183.45,1190.01,16,50.0,9.62,0,0,0,0,1.11,37,3,51,1781,16.46,14.3,0.0,2.14,0.0,0.0,0.0,0.0,0.0,7250000.0,4750000.0,0.0,0.0,0.0,0.0
19,Forward,1989,32,Windsor,ON,CAN,CAN,76,220,True,False,False,False,L,Y,573.17,3.0,5.0,40.0,49.0,55.0,242.0,0.0,0.0,4.25,558.19,40.0,42.85,10.2,2.0,0.0,0.0,0.0,10.33,24.0,-1.0,8.0,818.0,10.25,10.09,0.11,0.04,766.02,8,6,53,62,67,275,0,0,2.5,748.23,53,40.0,9.68,1,0,0,0,14.49,42,5,14,1072,11.26,11.1,0.13,0.02,399.25,9,3,50,46,50,147,0,0,0.49,398.36,50,75.0,6.52,0,0,0,0,0.0,9,0,12,604,7.59,7.58,0.0,0.0,729.36,4,5,123,66,82,300,0,0,1.45,700.59,123,0.0,7.58,0,0,0,0,26.52,26,0,9,1117,8.53,8.32,0.19,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,0.0,0.0,0.0,0.0
20,Forward,1991,30,Smithtown,NY,USA,USA,71,185,True,False,False,False,R,Y,1112.11,20.0,25.0,41.0,155.0,65.0,74.0,11.0,18.0,206.17,891.54,41.0,32.43,16.1,3.0,1.0,0.0,0.0,14.0,36.0,-4.0,45.0,1374.0,17.06,13.43,0.12,3.1,1343.29,23,27,42,224,74,98,11,18,243.59,1077.44,42,27.9,12.05,2,0,0,0,21.46,35,-9,50,1580,18.09,14.33,0.17,3.17,1073.12,20,24,30,181,62,94,11,23,172.06,857.16,30,33.33,13.26,5,0,0,0,43.5,50,-1,44,1390,17.18,13.49,0.42,2.46,1387.55,27,26,46,192,80,124,8,19,210.54,1101.14,46,41.37,13.54,3,0,1,1,75.47,36,2,53,1768,17.2,13.45,0.56,2.38,0.0,0.0,4500000.0,4500000.0,5000000.0,5000000.0,1135778.0,0.0,0.0,0.0,0.0
21,Forward,1991,30,Martin,Unknown,SVK,SVK,74,203,True,False,False,False,L,Y,668.52,13.0,9.0,36.0,67.0,59.0,75.0,0.0,0.0,12.54,621.02,36.0,57.89,13.4,1.0,0.0,0.0,0.0,34.56,19.0,16.0,22.0,873.0,11.2,10.31,0.35,0.13,1245.38,19,14,44,140,75,137,0,2,148.43,1007.02,44,27.77,10.0,2,1,1,1,89.53,52,-3,33,1730,16.36,13.25,1.11,1.58,1094.12,21,14,38,136,72,137,4,6,136.44,944.29,38,33.33,10.29,0,0,0,0,12.59,37,7,35,1435,15.11,13.07,0.1,1.53,1208.1,22,22,58,155,82,147,4,9,135.17,1072.32,58,28.57,14.19,5,0,0,0,0.21,45,14,44,1574,14.44,13.04,0.0,1.38,0.0,0.0,0.0,0.0,0.0,3200000.0,493116.0,0.0,0.0,0.0,0.0
22,Forward,1991,30,Toronto,ON,CAN,CAN,71,195,True,False,False,False,L,Y,686.06,4.0,10.0,41.0,67.0,48.0,133.0,0.0,0.0,2.14,571.52,41.0,53.48,14.9,1.0,0.0,3.0,5.0,112.0,39.0,12.0,14.0,987.0,14.17,11.54,2.2,0.02,1023.44,13,20,36,111,73,129,0,0,4.59,876.4,36,49.06,18.02,3,0,2,3,142.05,68,22,33,1476,14.01,12.0,1.56,0.04,845.46,10,7,23,74,64,128,0,0,3.57,694.3,23,53.08,9.46,0,0,1,1,147.19,53,-12,17,1216,13.12,10.51,2.18,0.03,820.3,17,8,30,82,59,144,0,1,8.45,684.52,30,49.64,9.76,1,0,0,0,126.53,58,9,25,1254,13.54,11.36,2.09,0.08,0.0,0.0,2500000.0,3000000.0,3500000.0,3750000.0,4000000.0,0.0,0.0,0.0,0.0
23,Forward,1991,29,Warroad,MN,USA,USA,76,212,True,False,False,False,L,Y,1282.28,28.0,26.0,32.0,175.0,68.0,49.0,4.0,7.0,138.04,1037.12,32.0,51.76,14.9,5.0,3.0,0.0,0.0,107.12,44.0,6.0,54.0,1649.0,18.51,15.15,1.34,2.01,1473.43,28,25,28,181,82,51,2,8,197.03,1210.55,28,47.67,13.81,3,1,1,1,65.45,55,20,53,1828,17.58,14.46,0.48,2.24,1207.44,16,19,43,138,82,50,4,8,147.57,1005.13,43,48.32,13.77,3,1,0,0,54.34,52,-4,35,1502,14.43,12.15,0.39,1.48,1267.3,25,20,36,173,81,50,1,6,151.3,1066.58,36,43.74,11.56,4,1,0,1,49.02,48,-6,45,1730,15.38,13.1,0.36,1.52,0.0,0.0,0.0,0.0,0.0,8000000.0,5200000.0,0.0,0.0,0.0,0.0
24,Defenseman,1992,28,St. Louis,MO,USA,USA,77,220,True,False,False,False,R,Y,1336.06,8.0,5.0,53.0,98.0,67.0,93.0,0.0,0.0,3.39,1165.06,53.0,0.0,5.1,1.0,0.0,0.0,2.0,167.21,117.0,8.0,13.0,1658.0,19.56,17.23,2.29,0.03,1480.01,15,4,68,104,79,118,0,0,2.23,1293.58,68,0.0,3.85,0,0,1,1,183.4,159,18,19,1888,18.44,16.22,2.19,0.01,838.42,10,2,45,58,47,77,0,0,2.08,766.07,45,0.0,3.45,0,0,0,0,70.27,73,-6,12,1015,17.5,16.18,1.29,0.02,353.3,7,2,35,39,25,37,0,0,0.19,352.4,35,0.0,5.13,0,0,0,0,0.31,36,-1,9,430,14.08,14.06,0.01,0.0,0.0,0.0,0.0,0.0,1100000.0,1200000.0,1200000.0,0.0,0.0,0.0,0.0
25,Defenseman,1994,26,Toronto,ON,CAN,CAN,75,205,True,False,False,False,L,Y,803.01,8.0,1.0,20.0,49.0,38.0,81.0,0.0,0.0,2.15,695.01,20.0,0.0,2.0,0.0,0.0,0.0,2.0,105.45,83.0,4.0,9.0,969.0,21.07,18.17,2.46,0.03,1453.06,16,5,24,110,78,149,0,0,7.04,1320.24,24,0.0,4.55,0,0,0,0,125.38,116,22,21,1898,18.37,16.55,1.36,0.05,1503.23,16,3,28,106,78,100,0,2,24.46,1302.1,28,0.0,2.83,1,0,0,1,176.27,142,7,19,1841,19.16,16.41,2.15,0.19,740.42,7,3,6,40,44,73,0,0,1.29,696.13,6,0.0,7.5,0,0,0,0,43.0,68,-5,10,868,16.5,15.49,0.58,0.02,0.0,0.0,0.0,875000.0,1100000.0,1925000.0,2500000.0,0.0,0.0,0.0,0.0
26,Defenseman,1994,26,Dauphin,MB,CAN,CAN,74,215,True,False,False,False,R,Y,1523.44,25.0,10.0,14.0,163.0,68.0,110.0,3.0,8.0,120.08,1302.12,14.0,0.0,6.1,3.0,1.0,0.0,0.0,101.24,139.0,8.0,35.0,1788.0,22.24,19.09,1.29,1.46,1833.49,28,9,22,180,82,143,3,9,153.57,1535.01,22,0.0,5.0,3,1,0,0,144.51,148,21,37,2278,22.21,18.43,1.45,1.52,1251.36,22,10,14,184,68,113,5,11,113.26,1130.44,14,0.0,5.43,0,0,0,0,7.26,86,-4,32,1501,18.24,16.37,0.06,1.4,3.57,0,0,0,0,1,1,0,0,1.02,2.55,0,0.0,0.0,0,0,0,0,0.0,1,1,0,5,3.57,2.55,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,3340000.0,0.0,0.0,0.0,0.0
27,Forward,1994,27,Charlottetown,PE,CAN,CAN,77,235,True,False,False,False,L,Y,255.36,1.0,3.0,78.0,16.0,32.0,93.0,0.0,0.0,0.06,255.3,78.0,100.0,18.8,0.0,0.0,0.0,0.0,0.0,14.0,1.0,4.0,362.0,7.59,7.59,0.0,0.0,134.33,3,1,23,12,17,43,0,0,0.05,133.53,23,0.0,8.33,0,0,0,0,0.35,1,3,4,189,7.54,7.52,0.02,0.0,224.02,3,3,62,19,24,46,0,0,0.5,222.42,62,20.0,15.79,0,0,0,0,0.3,11,0,6,310,9.2,9.16,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0
28,Forward,1996,25,Woodbridge,ON,CAN,CAN,75,200,True,False,False,False,L,Y,625.19,6.0,4.0,12.0,59.0,53.0,81.0,0.0,0.0,14.36,610.18,12.0,71.42,6.8,0.0,0.0,0.0,0.0,0.25,21.0,-8.0,10.0,849.0,11.47,11.3,0.0,0.16,339.02,4,3,2,34,28,10,0,0,5.53,333.09,2,0.0,8.82,2,0,0,0,0.0,8,3,7,435,12.06,11.53,0.0,0.12,53.25,0,0,0,1,4,1,0,0,4.42,48.43,0,0.0,0.0,0,0,0,0,0.0,1,0,0,61,13.21,12.1,0.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,700000.0,700000.0,0.0,0.0,0.0,0.0
29,Forward,1997,24,Coquitlam,BC,CAN,CAN,72,187,True,False,False,False,R,Y,1362.55,41.0,19.0,44.0,171.0,68.0,22.0,4.0,12.0,179.11,1183.08,44.0,41.6,11.1,2.0,0.0,0.0,0.0,0.36,43.0,5.0,60.0,1503.0,20.02,17.23,0.0,2.38,1469.41,44,18,46,179,82,25,3,18,241.02,1223.09,46,41.55,10.06,3,1,0,0,5.3,56,-5,62,1601,17.55,14.54,0.04,2.56,1456.47,63,22,30,170,82,21,5,27,259.36,1194.28,30,42.56,12.94,4,1,0,0,2.43,31,1,85,1582,17.45,14.34,0.01,3.09,19.3,0,0,6,0,2,1,0,0,1.02,18.28,6,46.15,0.0,0,0,0,0,0.0,0,-2,0,32,9.45,9.14,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0
30,Forward,1997,24,Sorel-Tracy,QC,CAN,CAN,71,182,True,False,False,False,L,Y,1173.41,21.0,18.0,15.0,132.0,68.0,86.0,3.0,7.0,120.49,1009.02,15.0,69.23,13.6,3.0,2.0,1.0,1.0,43.5,36.0,-11.0,39.0,1505.0,17.15,14.5,0.38,1.46,1186.01,10,18,8,156,81,87,1,2,133.58,1051.41,8,45.61,11.54,4,0,0,0,0.22,35,1,28,1435,14.38,12.59,0.0,1.39,1031.24,15,21,16,132,71,80,3,8,67.04,910.57,16,43.37,15.91,2,0,0,0,53.23,29,2,36,1266,14.31,12.49,0.45,0.56,859.23,15,9,10,101,66,81,0,1,33.06,822.13,10,41.41,8.91,2,0,0,0,4.04,26,1,24,1135,13.01,12.27,0.03,0.3,0.0,0.0,0.0,0.0,0.0,1800000.0,2400000.0,0.0,0.0,0.0,0.0
