id,Player Name,Position,Age,Nationality,Height,Weight,Shoots,Time On Ice,Total Assists,Total Goals,pim22,Total Shots,Total Games,Total Hits,Power Play Goals,Power Play Points,Power Play Time On Ice,evenTimeOnIce22,Total Penalty Minutes,Face Off Percentage,Shot Percentage,Game Winning Goals,Over Time Goals,Short Handed Goals,Short Handed Points,Short Handed Time On Ice,Blocked Shots,Plus Minus,Points,Total Shifts,Time On Ice Per Game,Even Time On Ice Per Game,Short Handed Time On Ice Per Game,Power Play Time On Ice Per Game,timeOnIce21,assists21,goals21,pim21,shots21,games21,hits21,powerPlayGoals21,powerPlayPoints21,powerPlayTimeOnIce21,evenTimeOnIce21,penaltyMinutes21,faceOffPct21,shotPct21,gameWinningGoals21,overTimeGoals21,shortHandedGoals21,shortHandedPoints21,shortHandedTimeOnIce21,blocked21,plusMinus21,points21,shifts21,timeOnIcePerGame21,evenTimeOnIcePerGame21,shortHandedTimeOnIcePerGame21,powerPlayTimeOnIcePerGame21,timeOnIce20,assists20,goals20,pim20,shots20,games20,hits20,powerPlayGoals20,powerPlayPoints20,powerPlayTimeOnIce20,evenTimeOnIce20,penaltyMinutes20,faceOffPct20,shotPct20,gameWinningGoals20,overTimeGoals20,shortHandedGoals20,shortHandedPoints20,shortHandedTimeOnIce20,blocked20,plusMinus20,points20,shifts20,timeOnIcePerGame20,evenTimeOnIcePerGame20,shortHandedTimeOnIcePerGame20,powerPlayTimeOnIcePerGame20,timeOnIce19,assists19,goals19,pim19,shots19,games19,hits19,powerPlayGoals19,powerPlayPoints19,powerPlayTimeOnIce19,evenTimeOnIce19,penaltyMinutes19,faceOffPct19,shotPct19,gameWinningGoals19,overTimeGoals19,shortHandedGoals19,shortHandedPoints19,shortHandedTimeOnIce19,blocked19,plusMinus19,points19,shifts19,timeOnIcePerGame19,evenTimeOnIcePerGame19,shortHandedTimeOnIcePerGame19,powerPlayTimeOnIcePerGame19,timeOnIce18,assists18,goals18,pim18,shots18,games18,hits18,powerPlayGoals18,powerPlayPoints18,powerPlayTimeOnIce18,evenTimeOnIce18,penaltyMinutes18,faceOffPct18,shotPct18,gameWinningGoals18,overTimeGoals18,shortHandedGoals18,shortHandedPoints18,shortHandedTimeOnIce18,blocked18,plusMinus18,points18,shifts18,timeOnIcePerGame18,evenTimeOnIcePerGame18,shortHandedTimeOnIcePerGame18,powerPlayTimeOnIcePerGame18,timeOnIce17,assists17,goals17,pim17,shots17,games17,hits17,powerPlayGoals17,powerPlayPoints17,powerPlayTimeOnIce17,evenTimeOnIce17,penaltyMinutes17,faceOffPct17,shotPct17,gameWinningGoals17,overTimeGoals17,shortHandedGoals17,shortHandedPoints17,shortHandedTimeOnIce17,blocked17,plusMinus17,points17,shifts17,timeOnIcePerGame17,evenTimeOnIcePerGame17,shortHandedTimeOnIcePerGame17,powerPlayTimeOnIcePerGame17,Salary_2017-18,Salary_2018-19,Salary_2019-20,Salary_2020-21,Salary,Salary Rank,Height (Inches),id,salary_rank_quantile,salary_2021-22_quantile,assists22_quantile,goals22_quantile,shots22_quantile,faceOffPct22_quantile,shotPct22_quantile,gameWinningGoals22_quantile,overTimeGoals22_quantile,points22_quantile,plusMinus22_quantile,offense_quantiles_total,Offensive Overall Rank,special_teams_quantiles_total,Special Teams Overall Rank,enforcer_quantiles_total,Enforcer Overall Rank,endurance_quantiles_total,Endurance Overall Rank,powerPlayGoals22_quantile,powerPlayPoints22_quantile,powerPlayTimeOnIce22_quantile,shortHandedGoals22_quantile,shortHandedPoints22_quantile,shortHandedTimeOnIce22_quantile,hits22_quantile,penaltyMinutes22_quantile,timeOnIce22_quantile,games22_quantile,shifts22_quantile,blocked22_quantile,timeOnIcePerGame22_quantile,evenTimeOnIcePerGame22_quantile,shortHandedTimeOnIcePerGame22_quantile,powerPlayTimeOnIcePerGame22_quantile,overall_rank_sum,Overall Rank
Wayne Simmonds,Wayne Simmonds,Right Wing,32,CAN,"6' 2""",185,Right,671.47,11.0,5.0,96.0,79.0,72.0,148.0,0.0,1.0,15.42,655.29,96.0,50.0,6.3,2.0,0.0,0.0,0.0,0.36,11.0,-7.0,16.0,987.0,9.19,9.06,0.0,0.13,455.27,2.0,7.0,45.0,62.0,38.0,64.0,3.0,3.0,67.54,387.33,45.0,50.0,11.3,0.0,0.0,0.0,0.0,0.0,15.0,-3.0,9.0,620.0,11.59,10.11,0.0,1.47,1014.42,17.0,8.0,66.0,119.0,68.0,145.0,5.0,9.0,176.26,838.13,66.0,39.18,6.7,1.0,0.0,0.0,0.0,0.03,29.0,-21.0,25.0,1201.0,14.55,12.19,0.0,2.35,1237.38,13.0,17.0,99.0,157.0,79.0,137.0,5.0,8.0,217.4,1019.31,99.0,23.52,10.83,2.0,0.0,0.0,0.0,0.27,28.0,-16.0,30.0,1530.0,15.39,12.54,0.0,2.45,1356.34,22.0,24.0,57.0,176.0,75.0,129.0,11.0,17.0,248.3,1043.46,57.0,57.14,13.64,5.0,1.0,1.0,1.0,64.18,54.0,-16.0,46.0,1700.0,18.05,13.55,0.51,3.18,1555.43,23.0,31.0,122.0,224.0,82.0,162.0,16.0,25.0,304.32,1127.04,122.0,47.05,13.84,4.0,1.0,2.0,2.0,124.07,60.0,-18.0,54.0,2049.0,18.58,13.44,1.3,3.42,0.0,0.0,0.0,0.0,750000.0,324,74,Wayne Simmonds,4,1,1,1,1,3,1,2,1,1,1,17.0,266,8.0,370,13.0,1,4.0,364,0,1,1,0,1,0,4,4,0,2,0,0,0,0,0,1,1001,117
Zach Bogosian,Zach Bogosian,Defenseman,31,USA,"6' 2""",200,Right,737.24,5.0,3.0,53.0,60.0,48.0,114.0,0.0,0.0,0.23,717.49,53.0,0.0,5.0,1.0,0.0,0.0,0.0,19.12,34.0,2.0,8.0,887.0,15.21,14.57,0.24,0.0,654.1,4.0,0.0,49.0,36.0,45.0,67.0,0.0,0.0,2.25,587.37,49.0,0.0,0.0,0.0,0.0,0.0,0.0,64.08,31.0,7.0,4.0,873.0,14.32,13.03,1.25,0.03,449.01,6.0,1.0,22.0,29.0,27.0,30.0,0.0,0.0,2.01,389.27,22.0,0.0,3.4,0.0,0.0,0.0,1.0,57.33,27.0,0.0,7.0,533.0,16.37,14.25,2.07,0.04,1405.44,16.0,3.0,52.0,93.0,65.0,83.0,0.0,1.0,16.37,1209.31,52.0,0.0,3.23,0.0,0.0,1.0,1.0,179.36,116.0,-5.0,19.0,1574.0,21.37,18.36,2.45,0.15,344.49,1.0,0.0,20.0,29.0,18.0,22.0,0.0,0.0,15.59,308.52,20.0,0.0,0.0,0.0,0.0,0.0,0.0,19.58,23.0,-9.0,1.0,458.0,19.09,17.09,1.06,0.53,1124.53,9.0,2.0,46.0,73.0,56.0,59.0,0.0,1.0,6.43,1020.36,46.0,0.0,2.74,1.0,1.0,0.0,0.0,97.34,97.0,-17.0,11.0,1424.0,20.05,18.13,1.44,0.07,0.0,0.0,0.0,0.0,750000.0,325,74,Zach Bogosian,4,0,0,0,0,0,1,1,3,0,2,11.0,344,8.0,371,11.0,56,8.0,330,0,1,0,0,2,1,3,4,1,0,0,2,1,3,1,0,1101,89
John Tavares,John Tavares,Center,30,CAN,"6' 1""",215,Left,1427.51,49.0,27.0,32.0,237.0,79.0,90.0,10.0,26.0,236.44,1189.44,32.0,60.58,11.4,3.0,0.0,0.0,0.0,1.23,44.0,-8.0,76.0,1672.0,18.04,15.03,0.01,2.59,1019.02,31.0,19.0,14.0,163.0,56.0,51.0,6.0,12.0,145.39,871.2,14.0,55.28,11.7,2.0,0.0,0.0,0.0,2.03,28.0,12.0,50.0,1189.0,18.11,15.33,0.02,2.36,1231.37,34.0,26.0,24.0,197.0,63.0,32.0,7.0,21.0,189.4,1040.53,24.0,55.28,13.2,4.0,3.0,0.0,0.0,1.04,31.0,-7.0,60.0,1388.0,19.32,16.31,0.01,3.0,1565.19,41.0,47.0,34.0,286.0,82.0,59.0,10.0,19.0,212.44,1336.22,34.0,54.45,16.43,8.0,1.0,0.0,0.0,16.13,53.0,19.0,88.0,1969.0,19.05,16.17,0.11,2.35,1633.52,47.0,37.0,26.0,257.0,82.0,30.0,12.0,30.0,259.24,1246.35,26.0,52.89,14.4,3.0,2.0,2.0,3.0,127.53,34.0,-12.0,84.0,1895.0,19.55,15.12,1.33,3.09,1572.15,38.0,28.0,38.0,260.0,77.0,42.0,7.0,18.0,246.0,1252.41,38.0,50.61,10.77,3.0,1.0,1.0,2.0,73.34,20.0,4.0,66.0,1906.0,20.25,16.16,0.57,3.11,0.0,15900000.0,15900000.0,12000000.0,9350000.0,14,73,John Tavares,0,4,4,4,4,4,3,3,2,4,1,33.0,63,18.0,144,10.0,98,26.0,92,4,4,4,2,0,0,3,3,3,3,3,3,3,3,0,4,397,347
Justin Holl,Justin Holl,Defenseman,29,USA,"6' 4""",210,Right,1394.22,20.0,3.0,41.0,64.0,69.0,129.0,0.0,0.0,4.54,1219.18,41.0,0.0,4.7,1.0,0.0,1.0,3.0,170.1,104.0,14.0,23.0,1764.0,20.12,17.4,2.27,0.04,1158.28,18.0,2.0,25.0,57.0,55.0,82.0,0.0,0.0,8.5,1009.4,25.0,0.0,3.5,1.0,1.0,0.0,1.0,139.58,84.0,16.0,20.0,1407.0,21.03,18.21,2.32,0.09,1258.37,16.0,2.0,43.0,89.0,68.0,89.0,0.0,0.0,2.47,1121.16,43.0,0.0,2.2,0.0,0.0,0.0,0.0,134.34,83.0,13.0,18.0,1603.0,18.3,16.29,1.58,0.02,137.18,1.0,0.0,2.0,6.0,11.0,9.0,0.0,0.0,0.28,136.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.0,1.0,191.0,12.28,12.26,0.0,0.02,34.43,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,32.11,0.0,0.0,100.0,1.0,0.0,0.0,0.0,2.32,3.0,5.0,2.0,53.0,17.21,16.05,1.16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2000000.0,2000000.0,212,76,Justin Holl,2,2,2,0,0,0,1,1,1,2,3,14.0,307,19.0,114,11.0,57,27.0,75,1,1,1,4,4,4,4,3,3,2,3,4,4,4,4,1,553,297
Zach Hyman,Zach Hyman,Left Wing,29,CAN,"6' 1""",211,Right,1479.2,27.0,27.0,36.0,213.0,76.0,74.0,5.0,10.0,182.24,1162.01,36.0,48.23,12.7,4.0,1.0,1.0,4.0,134.55,31.0,-9.0,54.0,1701.0,19.27,15.17,1.46,2.24,832.41,18.0,15.0,28.0,115.0,43.0,69.0,3.0,5.0,64.5,683.27,28.0,32.72,13.0,4.0,0.0,0.0,0.0,84.24,21.0,19.0,33.0,984.0,19.21,15.53,1.57,1.3,973.54,16.0,21.0,23.0,106.0,51.0,52.0,3.0,6.0,56.04,822.33,23.0,43.75,19.8,1.0,0.0,1.0,1.0,95.17,23.0,13.0,37.0,1185.0,19.05,16.07,1.52,1.05,1226.34,20.0,21.0,65.0,144.0,71.0,102.0,0.0,0.0,17.52,1047.44,65.0,47.67,14.58,4.0,0.0,1.0,1.0,160.58,39.0,16.0,41.0,1700.0,17.16,14.45,2.16,0.15,1423.2,25.0,15.0,37.0,148.0,82.0,117.0,0.0,0.0,12.3,1193.31,37.0,42.85,10.14,2.0,0.0,1.0,2.0,217.19,55.0,22.0,40.0,1981.0,17.21,14.33,2.39,0.09,1369.09,18.0,10.0,30.0,156.0,82.0,109.0,0.0,0.0,13.5,1126.37,30.0,37.93,6.41,3.0,0.0,4.0,4.0,228.42,43.0,2.0,28.0,1950.0,16.41,13.44,2.47,0.1,0.0,0.0,0.0,0.0,2550000.0,178,73,Zach Hyman,2,2,3,4,4,3,3,4,4,4,1,34.0,52,25.0,25,9.0,136,26.0,93,4,3,3,4,4,3,2,3,4,3,3,2,3,3,3,3,306,377
Alex Galchenyuk,Alex Galchenyuk,Center,27,USA,"6' 1""",194,Left,789.12,15.0,6.0,32.0,89.0,60.0,67.0,0.0,1.0,49.29,739.22,32.0,52.32,6.7,0.0,0.0,0.0,0.0,0.21,24.0,-11.0,21.0,1088.0,13.09,12.19,0.0,0.49,432.01,8.0,5.0,20.0,62.0,34.0,44.0,1.0,1.0,33.17,398.17,20.0,50.0,8.1,0.0,0.0,0.0,0.0,0.27,10.0,-8.0,13.0,600.0,12.42,11.42,0.0,0.58,725.45,16.0,8.0,16.0,86.0,59.0,52.0,2.0,7.0,97.52,627.14,16.0,51.14,9.3,0.0,0.0,0.0,0.0,0.39,17.0,-5.0,24.0,988.0,12.18,10.37,0.0,1.39,1132.38,22.0,19.0,34.0,159.0,72.0,62.0,9.0,21.0,228.15,903.51,34.0,45.74,11.95,4.0,1.0,0.0,0.0,0.32,34.0,-19.0,41.0,1485.0,15.43,12.33,0.0,3.1,1331.12,32.0,19.0,22.0,213.0,82.0,33.0,9.0,24.0,240.01,1089.14,22.0,44.95,8.92,2.0,0.0,0.0,0.0,1.57,37.0,-31.0,51.0,1589.0,16.14,13.17,0.01,2.55,971.43,27.0,17.0,24.0,104.0,61.0,36.0,6.0,15.0,138.57,830.34,24.0,42.67,16.35,6.0,5.0,0.0,0.0,2.12,32.0,-5.0,44.0,1276.0,15.55,13.36,0.02,2.16,0.0,0.0,0.0,0.0,750000.0,326,73,Alex Galchenyuk,4,1,2,1,1,4,1,1,1,1,0,17.0,267,11.0,318,10.0,99,9.0,318,0,2,2,2,0,0,2,3,1,1,1,1,1,1,0,2,1002,116
Alexander Kerfoot,Alexander Kerfoot,Center,26,CAN,"5' 10""",185,Left,1247.36,38.0,13.0,20.0,117.0,82.0,75.0,0.0,1.0,9.1,1096.45,20.0,42.69,11.1,1.0,0.0,0.0,3.0,141.41,65.0,19.0,51.0,1689.0,15.12,13.22,1.43,0.06,808.53,15.0,8.0,12.0,68.0,56.0,41.0,0.0,2.0,33.26,690.29,12.0,40.78,11.8,1.0,0.0,1.0,1.0,84.58,34.0,2.0,23.0,1117.0,14.26,12.19,1.31,0.35,960.0,19.0,9.0,32.0,88.0,65.0,48.0,1.0,3.0,81.33,860.52,32.0,46.92,10.2,1.0,0.0,0.0,0.0,17.35,41.0,-2.0,28.0,1259.0,14.46,13.14,0.16,1.15,1160.5,27.0,15.0,38.0,116.0,78.0,22.0,4.0,16.0,161.58,994.15,38.0,56.03,12.93,1.0,0.0,0.0,0.0,4.37,29.0,-9.0,42.0,1486.0,14.52,12.44,0.03,2.04,1061.54,24.0,19.0,28.0,81.0,79.0,42.0,5.0,17.0,196.03,865.36,28.0,42.07,23.46,0.0,0.0,0.0,0.0,0.15,35.0,-7.0,43.0,1398.0,13.26,10.57,0.0,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5000000.0,3600000.0,2700000.0,175,70,Alexander Kerfoot,2,2,4,3,2,2,3,2,0,3,4,27.0,121,17.0,172,7.0,244,21.0,162,2,1,1,1,4,4,2,1,2,4,3,3,1,2,3,1,699,237
William Nylander,William Nylander,Right Wing,25,CAN,"6' 0""",196,Right,1480.03,46.0,34.0,16.0,256.0,81.0,19.0,13.0,31.0,244.33,1210.54,16.0,52.3,13.3,7.0,2.0,0.0,0.0,24.36,30.0,-9.0,80.0,1774.0,18.16,14.56,0.18,3.01,846.38,25.0,17.0,16.0,133.0,51.0,12.0,4.0,11.0,123.46,722.11,16.0,56.52,12.8,2.0,1.0,0.0,0.0,0.41,15.0,10.0,42.0,1056.0,16.36,14.09,0.0,2.25,1238.11,28.0,31.0,12.0,197.0,68.0,9.0,9.0,17.0,196.07,1041.07,12.0,50.0,15.7,7.0,1.0,0.0,0.0,0.57,14.0,-2.0,59.0,1493.0,18.12,15.18,0.0,2.53,837.51,20.0,7.0,16.0,130.0,54.0,16.0,1.0,6.0,100.16,735.04,16.0,55.16,5.38,0.0,0.0,0.0,0.0,2.31,14.0,-4.0,27.0,1145.0,15.3,13.36,0.02,1.51,1368.27,41.0,20.0,10.0,184.0,82.0,21.0,5.0,12.0,165.26,1201.1,10.0,51.38,10.87,8.0,2.0,0.0,0.0,1.51,18.0,20.0,61.0,1869.0,16.41,14.38,0.01,2.01,1297.0,39.0,22.0,32.0,205.0,81.0,25.0,9.0,26.0,190.46,1105.37,32.0,40.16,10.73,2.0,0.0,0.0,0.0,0.37,16.0,-3.0,61.0,1766.0,16.0,13.38,0.0,2.21,0.0,8774193.0,9000000.0,6000000.0,6000000.0,60,72,William Nylander,0,4,4,4,4,4,4,4,4,4,1,37.0,23,19.0,115,5.0,330,27.0,76,4,4,4,2,0,1,0,1,4,4,3,1,3,3,1,4,544,300
Pierre Engvall,Pierre Engvall,Left Wing,25,SWE,"6' 5""",214,Left,1035.46,20.0,15.0,30.0,154.0,78.0,66.0,1.0,3.0,44.39,916.32,30.0,42.02,9.7,3.0,0.0,2.0,3.0,74.35,12.0,13.0,35.0,1475.0,13.16,11.45,0.57,0.34,501.02,5.0,7.0,16.0,61.0,42.0,43.0,0.0,0.0,3.42,474.3,16.0,43.03,11.5,1.0,0.0,0.0,0.0,22.5,12.0,2.0,12.0,696.0,11.55,11.17,0.32,0.05,572.49,7.0,8.0,6.0,72.0,48.0,29.0,0.0,0.0,0.16,510.11,6.0,39.04,11.1,3.0,0.0,1.0,2.0,62.22,10.0,4.0,15.0,805.0,11.56,10.37,1.17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1250000.0,1250000.0,254,77,Pierre Engvall,3,1,2,3,3,2,2,3,2,3,3,27.0,122,20.0,89,8.0,185,11.0,289,2,2,2,4,4,2,2,2,1,3,2,0,1,0,2,1,685,240
Travis Dermott,Travis Dermott,Defenseman,24,CAN,"6' 0""",205,Left,920.07,5.0,2.0,14.0,46.0,60.0,55.0,0.0,0.0,1.34,882.39,14.0,0.0,4.3,1.0,0.0,0.0,0.0,35.54,46.0,9.0,7.0,1255.0,15.2,14.42,0.35,0.01,674.26,4.0,2.0,19.0,36.0,51.0,44.0,0.0,0.0,0.42,651.43,19.0,0.0,5.6,0.0,0.0,0.0,0.0,22.01,35.0,-1.0,6.0,944.0,13.13,12.46,0.25,0.0,969.17,7.0,4.0,37.0,65.0,56.0,76.0,0.0,0.0,2.41,902.11,37.0,0.0,6.2,1.0,0.0,0.0,0.0,64.25,58.0,14.0,11.0,1231.0,17.18,16.06,1.09,0.02,1107.38,13.0,4.0,22.0,98.0,64.0,100.0,0.0,0.0,8.24,1031.51,22.0,0.0,4.08,0.0,0.0,0.0,0.0,67.23,57.0,-5.0,17.0,1453.0,17.18,16.07,1.03,0.07,591.47,12.0,1.0,8.0,54.0,37.0,48.0,0.0,0.0,3.19,574.11,8.0,0.0,1.85,0.0,0.0,0.0,0.0,14.17,36.0,16.0,13.0,821.0,15.59,15.31,0.23,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,250000.0,384,72,Travis Dermott,4,0,0,0,0,0,0,1,3,0,3,11.0,345,9.0,357,5.0,331,10.0,304,0,0,0,1,2,2,1,0,1,1,1,3,1,2,1,0,1337,45
Mitchell Marner,Mitchell Marner,Right Wing,24,CAN,"6' 0""",175,Right,1503.34,62.0,35.0,16.0,224.0,72.0,75.0,6.0,25.0,223.39,1136.12,16.0,55.55,15.6,5.0,1.0,3.0,4.0,143.43,31.0,23.0,97.0,1744.0,20.52,15.46,1.59,3.06,1233.29,47.0,20.0,20.0,156.0,55.0,23.0,0.0,14.0,171.55,954.42,20.0,80.0,12.8,5.0,0.0,0.0,2.0,106.52,41.0,21.0,67.0,1377.0,22.25,17.21,1.56,3.07,1271.41,51.0,16.0,16.0,154.0,59.0,24.0,6.0,24.0,190.06,951.51,16.0,26.92,10.4,2.0,1.0,0.0,1.0,129.44,37.0,6.0,67.0,1450.0,21.33,16.07,2.11,3.13,1625.26,68.0,26.0,22.0,233.0,82.0,29.0,3.0,21.0,212.17,1302.0,22.0,63.63,11.16,5.0,0.0,1.0,3.0,111.09,43.0,22.0,94.0,2066.0,19.49,15.52,1.21,2.35,1343.49,47.0,22.0,26.0,194.0,82.0,31.0,8.0,27.0,179.59,1160.21,26.0,52.63,11.34,2.0,0.0,0.0,0.0,3.29,25.0,-1.0,69.0,1824.0,16.23,14.09,0.02,2.11,1294.23,42.0,19.0,38.0,176.0,77.0,41.0,4.0,21.0,183.15,1100.55,38.0,37.83,10.8,5.0,0.0,0.0,0.0,10.13,39.0,0.0,61.0,1690.0,16.48,14.17,0.07,2.22,0.0,0.0,16000000.0,15000000.0,10358000.0,7,72,Mitchell Marner,0,4,4,4,4,4,4,4,4,4,4,40.0,3,28.0,1,7.0,245,29.0,56,4,4,4,4,4,4,2,1,4,2,3,1,4,3,4,4,305,378
Auston Matthews,Auston Matthews,Center,23,USA,"6' 3""",220,Left,1504.28,46.0,60.0,18.0,348.0,73.0,67.0,16.0,29.0,225.45,1273.55,18.0,56.22,17.2,10.0,2.0,0.0,0.0,4.48,62.0,20.0,106.0,1669.0,20.36,17.27,0.03,3.05,1120.46,25.0,41.0,10.0,222.0,52.0,57.0,10.0,13.0,168.04,944.14,10.0,51.9,18.5,12.0,2.0,0.0,0.0,8.28,47.0,21.0,66.0,1217.0,21.33,18.09,0.09,3.13,1467.52,33.0,47.0,8.0,290.0,70.0,40.0,12.0,25.0,223.44,1241.39,8.0,55.0,16.2,5.0,0.0,0.0,0.0,2.29,60.0,19.0,80.0,1624.0,20.58,17.44,0.02,3.11,1261.44,36.0,37.0,12.0,251.0,68.0,28.0,12.0,20.0,174.39,1085.01,12.0,52.14,14.74,5.0,2.0,0.0,0.0,2.04,60.0,-9.0,73.0,1591.0,18.33,15.57,0.01,2.34,1123.57,29.0,34.0,12.0,187.0,62.0,16.0,5.0,13.0,133.04,989.2,12.0,54.5,18.18,5.0,2.0,0.0,0.0,1.33,61.0,25.0,63.0,1497.0,18.07,15.57,0.01,2.08,1445.45,29.0,40.0,14.0,279.0,82.0,21.0,8.0,21.0,201.28,1242.49,14.0,46.82,14.34,8.0,1.0,0.0,0.0,1.28,61.0,2.0,69.0,1894.0,17.37,15.09,0.01,2.27,0.0,0.0,15910000.0,15910000.0,10450000.0,6,75,Auston Matthews,0,4,4,4,4,4,4,4,4,4,4,40.0,4,19.0,116,7.0,246,28.0,64,4,4,4,2,0,1,2,1,4,2,3,3,4,4,0,4,430,339
Ilya Mikheyev,Ilya Mikheyev,Right Wing,26,RUS,"6' 3""",195,Left,808.44,11.0,21.0,26.0,147.0,53.0,52.0,4.0,5.0,57.56,676.45,26.0,0.0,14.3,4.0,0.0,4.0,4.0,74.03,18.0,16.0,32.0,1105.0,15.15,12.46,1.23,1.05,767.19,10.0,7.0,6.0,107.0,54.0,49.0,0.0,0.0,7.39,674.05,6.0,100.0,6.5,2.0,0.0,0.0,1.0,85.35,28.0,5.0,17.0,1050.0,14.12,12.28,1.35,0.08,607.28,15.0,8.0,4.0,98.0,39.0,26.0,0.0,0.0,3.03,529.22,4.0,75.0,8.2,1.0,0.0,1.0,1.0,75.03,13.0,7.0,23.0,852.0,15.34,13.34,1.55,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1100000.0,2190000.0,202,75,Ilya Mikheyev,2,2,1,3,3,0,4,4,2,2,4,27.0,123,21.0,68,7.0,247,11.0,290,3,2,2,4,4,2,1,2,1,0,1,0,1,1,3,2,728,220
Nino Niederreiter,Nino Niederreiter,Right Wing,28,CHE,"6' 2""",218,Left,1112.59,20.0,24.0,34.0,144.0,75.0,119.0,4.0,5.0,110.11,1002.24,34.0,48.71,16.7,5.0,0.0,0.0,0.0,0.24,17.0,29.0,44.0,1430.0,14.5,13.21,0.0,1.28,880.11,14.0,20.0,29.0,126.0,56.0,68.0,4.0,5.0,85.15,794.01,29.0,14.28,15.9,4.0,0.0,0.0,0.0,0.55,17.0,20.0,34.0,1089.0,15.43,14.1,0.0,1.31,992.47,18.0,11.0,42.0,115.0,67.0,52.0,4.0,11.0,125.43,865.03,42.0,25.0,9.6,2.0,0.0,0.0,0.0,2.01,19.0,-3.0,29.0,1279.0,14.49,12.54,0.01,1.52,1330.28,30.0,23.0,30.0,184.0,82.0,94.0,6.0,15.0,184.52,1143.56,30.0,55.22,12.5,3.0,0.0,0.0,0.0,1.4,20.0,-4.0,53.0,1637.0,16.13,13.57,0.01,2.15,945.05,14.0,18.0,36.0,133.0,63.0,58.0,7.0,8.0,140.1,800.57,36.0,45.45,13.53,4.0,1.0,0.0,0.0,3.58,20.0,14.0,32.0,1146.0,15.0,12.42,0.03,2.13,1235.53,32.0,25.0,53.0,186.0,82.0,120.0,8.0,14.0,164.28,1071.16,53.0,0.0,13.44,3.0,0.0,0.0,0.0,0.09,20.0,17.0,57.0,1617.0,15.04,13.03,0.0,2.0,4600000.0,2612880.0,5850000.0,4250000.0,5475000.0,77,74,Nino Niederreiter,0,4,2,4,3,3,4,4,2,3,4,33.0,64,14.0,246,10.0,100,16.0,232,3,2,2,3,0,0,3,3,2,3,2,0,1,2,0,2,642,264
Jani Hakanpaa,Jani Hakanpaa,Defenseman,29,FIN,"6' 5""",218,Right,1296.4,8.0,4.0,43.0,68.0,80.0,248.0,0.0,0.0,3.03,1112.05,43.0,0.0,5.9,0.0,0.0,0.0,1.0,181.32,112.0,1.0,12.0,1664.0,16.12,13.54,2.16,0.02,1027.12,2.0,2.0,35.0,54.0,57.0,215.0,0.0,0.0,1.26,911.32,35.0,0.0,3.7,1.0,0.0,0.0,1.0,114.14,83.0,4.0,4.0,1321.0,18.01,15.59,2.0,0.01,90.36,0.0,1.0,2.0,4.0,5.0,15.0,0.0,0.0,1.52,82.11,2.0,0.0,25.0,0.0,0.0,0.0,0.0,6.33,7.0,1.0,1.0,123.0,18.07,16.26,1.18,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1000000.0,273,77,Jani Hakanpaa,3,1,1,1,1,1,1,1,1,0,2,13.0,321,14.0,247,11.0,58,23.0,131,2,0,0,1,3,4,4,3,3,4,3,4,2,2,4,0,757,208
